MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57619.430887  13.526  0.008 14113  107 o  0 3015.34 278.53578   9.56705  9429.69  8703.77 4.33 3.32  86.6 -0.527 18.28 19.54 02a57619o0221o
57630.316989  13.775  0.004 11221   45 c  0 13013.90 278.53578   9.56705   447.91  7430.35 4.04 3.83  70.0 -0.414 19.50 21.50 02a57630o0148c
57630.335456  13.762  0.004 11353   43 c  0 15363.03 278.53578   9.56705   429.14  7391.84 4.04 3.88  75.1 -0.410 19.49 21.50 02a57630o0182c
57630.337002  13.778  0.004 11190   46 c  0 11770.72 278.53578   9.56705 10150.08  7442.57 4.38 3.66  81.7 -0.454 19.49 21.46 02a57630o0185c
57630.341935  13.761  0.004 11364   46 c  0 12490.63 278.53578   9.56705 10134.16  7402.51 4.36 3.67  80.5 -0.457 19.49 21.47 02a57630o0194c
57630.343996  13.791  0.004 11055   47 c  0 9281.57 278.53578   9.56705   490.26  7467.63 4.08 3.90  82.7 -0.413 19.48 21.50 02a57630o0198c
57630.350223  13.784  0.004 11125   45 c  0 13324.47 278.53578   9.56705   509.31  7349.57 3.92 3.71  80.4 -0.428 19.52 21.50 02a57630o0210c
57630.351769  13.792  0.004 11049   46 c  0 11027.52 278.53578   9.56705 10190.46  7479.13 4.31 3.52  82.1 -0.462 19.52 21.46 02a57630o0213c
57630.369438  13.852  0.005 10452   47 c  0 9028.18 278.53578   9.56705 10211.80  7362.36 4.15 3.48  84.0 -0.448 19.50 21.42 02a57630o0245c
57630.386317  13.834  0.005 10622   48 c  0 9393.82 278.53578   9.56705 10175.76  7419.69 4.26 3.74  82.5 -0.430 19.42 21.38 02a57630o0276c
57638.301043  13.880  0.005 10190   47 c  0 9162.71 278.53578   9.56705  1784.64  8825.15 3.90 3.68  35.8 -0.441 19.37 21.15 02a57638o0142c
57638.325417  13.851  0.004 10462   46 c  0 12140.50 278.53578   9.56705  1825.23  8862.68 3.82 3.63  32.5 -0.446 19.39 21.18 02a57638o0187c
57638.346125  13.868  0.004 10304   44 c  0 16435.20 278.53578   9.56705  1848.05  8742.66 3.83 3.67  34.4 -0.440 19.45 21.33 02a57638o0228c
57638.352468  13.865  0.004 10324   45 c  0 10981.19 278.53578   9.56705  1810.55  8800.32 3.89 3.74  33.6 -0.440 19.46 21.36 02a57638o0239c
57650.292348  13.291  0.004 17522   70 o  0 11933.15 278.53578   9.56705  9591.98  8784.06 3.74 3.23  89.7 -0.512 18.73 19.85 02a57650o0131o
57650.301984  13.284  0.004 17635   70 o  0 7790.57 278.53578   9.56705  9572.49  8745.56 3.75 3.22  88.2 -0.506 18.70 19.78 02a57650o0150o
57650.312811  13.325  0.004 16976   75 o  0 7541.10 278.53578   9.56705  9633.06  8823.20 3.75 3.23  87.2 -0.513 18.68 19.72 02a57650o0170o
57650.323419  13.293  0.004 17485   72 o  0 8015.99 278.53578   9.56705  9653.24  8704.96 3.72 3.16  87.4 -0.510 18.66 19.66 02a57650o0190o
57650.336175  13.312  0.004 17180   77 o  0 5471.24 278.53578   9.56705  9616.49  8761.53 3.66 3.11  89.8 -0.512 18.62 19.57 02a57650o0213o
57658.283154  13.735  0.004 11645   45 c  0 13322.22 278.53578   9.56705  9526.20  1095.33 4.05 3.68 -87.7 -0.428 19.48 21.39 02a57658o0138c
57658.294096  13.761  0.004 11362   48 c  0 10074.81 278.53578   9.56705  9583.73  1173.57 4.09 3.75 -86.7 -0.427 19.45 21.38 02a57658o0159c
57658.306712  13.739  0.004 11597   47 c  0 10015.41 278.53578   9.56705  9605.87  1055.20 4.28 3.99 -81.4 -0.416 19.37 21.34 02a57658o0183c
57658.318286  13.746  0.004 11523   47 c  0 10797.97 278.53578   9.56705  9569.41  1112.52 4.06 3.67 -86.1 -0.432 19.43 21.29 02a57658o0204c
57662.251719  13.878  0.005 10202   48 c  0 9643.54 278.53578   9.56705   251.29  9075.12 4.05 3.67  45.3 -0.463 19.41 21.36 02a57662o0083c
57662.261512  13.865  0.005 10332   47 c  0 12623.39 278.53578   9.56705  9976.77  9082.34 4.21 3.75  83.9 -0.451 19.30 21.21 02a57662o0102c
57662.265135  13.900  0.005 10004   53 c  0 7758.83 278.53578   9.56705   231.20  9035.38 4.03 3.68  42.1 -0.454 19.11 20.98 02a57662o0109c
57662.274901  13.853  0.005 10438   48 c  0 9883.52 278.53578   9.56705  9958.10  9041.56 4.17 3.71  82.0 -0.451 19.35 21.26 02a57662o0128c
57662.277932  13.849  0.004 10483   45 c  0 14667.78 278.53578   9.56705   289.63  9111.41 4.13 3.80  44.8 -0.442 19.39 21.35 02a57662o0134c
57662.286707  13.902  0.006  9977   61 c  0 5209.77 278.53578   9.56705 10016.69  9119.96 4.18 3.72  83.1 -0.444 18.92 20.76 02a57662o0151c
57662.289765  13.914  0.006  9873   60 c  0 5044.19 278.53578   9.56705   312.06  8991.48 4.05 3.77  45.4 -0.449 18.92 20.76 02a57662o0157c
57662.299053  13.839  0.005 10578   54 c  0 7530.27 278.53578   9.56705 10036.19  9001.57 4.22 3.76  83.0 -0.440 19.03 20.87 02a57662o0175c
57662.302290  13.843  0.005 10540   51 c  0 8075.16 278.53578   9.56705   274.23  9049.03 4.14 3.86  43.8 -0.441 19.06 20.90 02a57662o0181c
57662.312785  13.857  0.009 10404   91 c  0 1595.20 278.53578   9.56705  9999.24  9058.06 4.48 4.07  79.5 -0.409 18.16 19.98 02a57662o0201c
57666.244600  13.857  0.010 10407  106 c  0 1043.66 278.53578   9.56705  2631.16  8994.02 4.47 4.12  36.7 -0.420 17.75 19.34 02a57666o0042c
57670.231200  13.288  0.004 17572   65 o  0 18512.67 278.53578   9.56705  6706.21  1462.39 3.76 3.60 -75.6 -0.475 18.79 20.03 02a57670o0042o
57670.232183  13.307  0.004 17261   71 o  0 13280.44 278.53578   9.56705  6687.31  1424.11 3.76 3.58 -81.4 -0.469 18.79 20.03 02a57670o0044o
57670.237122  13.314  0.004 17153   70 o  0 8619.83 278.53578   9.56705  6744.20  1502.31 3.72 3.53 -78.3 -0.473 18.83 20.09 02a57670o0054o
57670.245672  13.272  0.004 17825   65 o  0 11469.35 278.53578   9.56705  6765.36  1385.41 3.63 3.42 -76.6 -0.480 18.85 20.09 02a57670o0071o
57670.257334  13.289  0.004 17557   69 o  0 7753.67 278.53578   9.56705  6724.35  1443.54 3.63 3.43 -75.0 -0.479 18.83 20.05 02a57670o0094o
57672.231708  13.272  0.004 17834   73 o  0 8955.87 278.53578   9.56705  8205.06  1482.55 3.72 3.39 -86.6 -0.475 18.62 19.65 02a57672o0044o
57672.232685  13.262  0.004 17994   70 o  0 9840.28 278.53578   9.56705  8186.15  1443.92 3.77 3.46 -87.0 -0.464 18.60 19.64 02a57672o0046o
57672.234164  13.230  0.004 18533   68 o  0 10944.93 278.53578   9.56705  8243.24  1522.27 3.75 3.44 -86.2 -0.470 18.60 19.63 02a57672o0049o
57672.243607  13.242  0.004 18326   69 o  0 10367.40 278.53578   9.56705  8263.09  1404.60 3.73 3.44 -86.4 -0.468 18.60 19.63 02a57672o0068o
57672.254454  13.272  0.004 17832   71 o  0 11194.22 278.53578   9.56705  8223.93  1462.77 3.65 3.29 -84.2 -0.480 18.61 19.59 02a57672o0089o
